 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.69402490E+09
 R [km]                                          :    9.99500067E-01
 Mean Density [g/cm^3]                           :    1.60047993E-03
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.26491822E-02
 C20                                             :    9.26061445E-05
 C22                                             :    2.78076742E-05
 ekf (Equivalent Fluid Love Number)              :    2.39361587E-03
 H(n)                                            :    4.00957446E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.89626244E-02
 b-R [km]                                        :   -1.67530598E-02
 c-R [km]                                        :   -3.95885594E-02
 
 f1=(a-c)/a                                      :    9.31078458E-02
 f2=(b-c)/b                                      :    2.32363963E-02
 f3=(a-b)/a                                      :    6.98714495E-02
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74261509E-01
 f_MacLaurin                                     :    5.79522752E-02
 f_Roche                                         :    2.32213784E-01
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
  71    3.50000668E-02    8.37347103E+11    6.35337032E+06    5.11678837E+03    3.19202622E-03    1.76021016E-01
  72    3.55000668E-02    8.33213432E+11    6.50523965E+06    5.39093755E+03    3.19491019E-03    1.72970027E-01
  73    3.60000668E-02    8.29049181E+11    6.65764995E+06    5.67485729E+03    3.19783642E-03    1.69996186E-01
  74    3.65000668E-02    8.24855292E+11    6.81054929E+06    5.96869299E+03    3.20080498E-03    1.67096538E-01
  75    3.70000668E-02    8.20632703E+11    6.96388600E+06    6.27258626E+03    3.20381594E-03    1.64268284E-01
  76    3.75000668E-02    8.16382352E+11    7.11760869E+06    6.58667493E+03    3.20686938E-03    1.61508770E-01
  77    3.80000668E-02    8.12105173E+11    7.27166633E+06    6.91109283E+03    3.20996538E-03    1.58815477E-01
  78    3.85000668E-02    8.07802099E+11    7.42600821E+06    7.24596974E+03    3.21310401E-03    1.56186015E-01
  79    3.90000668E-02    8.03474060E+11    7.58058400E+06    7.59143128E+03    3.21628536E-03    1.53618111E-01
  80    3.95000668E-02    7.99121982E+11    7.73534375E+06    7.94759880E+03    3.21950950E-03    1.51109606E-01
  81    4.00000668E-02    7.94746788E+11    7.89023795E+06    8.31458929E+03    3.22277650E-03    1.48658442E-01
  82    4.05000668E-02    7.90349397E+11    8.04521751E+06    8.69251531E+03    3.22608647E-03    1.46262665E-01
  83    4.10000668E-02    7.85930725E+11    8.20023378E+06    9.08148487E+03    3.22943946E-03    1.43920410E-01
  84    4.15000668E-02    7.81491682E+11    8.35523861E+06    9.48160138E+03    3.23283558E-03    1.41629899E-01
  85    4.20000668E-02    7.77033172E+11    8.51018434E+06    9.89296358E+03    3.23627489E-03    1.39389438E-01
  86    4.25000668E-02    7.72556097E+11    8.66502382E+06    1.03156654E+04    3.23975750E-03    1.37197410E-01
  87    4.30000668E-02    7.68061352E+11    8.81971042E+06    1.07497961E+04    3.24328348E-03    1.35052269E-01
  88    4.35000668E-02    7.63549824E+11    8.97419809E+06    1.11954399E+04    3.24685292E-03    1.32952541E-01
  89    4.40000668E-02    7.59022398E+11    9.12844131E+06    1.16526762E+04    3.25046591E-03    1.30896815E-01
  90    4.45000668E-02    7.54479950E+11    9.28239517E+06    1.21215794E+04    3.25412253E-03    1.28883741E-01
  91    4.50000668E-02    7.49923351E+11    9.43601535E+06    1.26022188E+04    3.25782288E-03    1.26912027E-01
  92    4.55000668E-02    7.45353462E+11    9.58925813E+06    1.30946587E+04    3.26156706E-03    1.24980438E-01
  93    4.60000668E-02    7.40771142E+11    9.74208043E+06    1.35989584E+04    3.26535514E-03    1.23087789E-01
  94    4.65000668E-02    7.36177237E+11    9.89443982E+06    1.41151719E+04    3.26918722E-03    1.21232944E-01
  95    4.70000668E-02    7.31572590E+11    1.00462945E+07    1.46433481E+04    3.27306341E-03    1.19414815E-01
  96    4.75000668E-02    7.26958034E+11    1.01976033E+07    1.51835308E+04    3.27698378E-03    1.17632357E-01
  97    4.80000668E-02    7.22334394E+11    1.03483259E+07    1.57357586E+04    3.28094844E-03    1.15884568E-01
  98    4.85000668E-02    7.17702487E+11    1.04984224E+07    1.63000647E+04    3.28495749E-03    1.14170484E-01
  99    4.90000668E-02    7.13063121E+11    1.06478538E+07    1.68764774E+04    3.28901101E-03    1.12489180E-01
 100    4.95000668E-02    7.08417097E+11    1.07965818E+07    1.74650196E+04    3.29310912E-03    1.10839768E-01
 101    5.00000668E-02    7.03765205E+11    1.09445687E+07    1.80657089E+04    3.29725190E-03    1.09221391E-01
 102    5.05000668E-02    6.99108228E+11    1.10917776E+07    1.86785580E+04    3.30143946E-03    1.07633227E-01
 103    5.10000668E-02    6.94446938E+11    1.12381723E+07    1.93035741E+04    3.30567191E-03    1.06074484E-01
 104    5.15000668E-02    6.89782100E+11    1.13837174E+07    1.99407595E+04    3.30994933E-03    1.04544400E-01
 105    5.20000668E-02    6.85114465E+11    1.15283781E+07    2.05901109E+04    3.31427185E-03    1.03042239E-01
 106    5.25000668E-02    6.80444780E+11    1.16721207E+07    2.12516204E+04    3.31863955E-03    1.01567294E-01
 107    5.30000668E-02    6.75773779E+11    1.18149118E+07    2.19252746E+04    3.32305255E-03    1.00118883E-01
 108    5.35000668E-02    6.71102185E+11    1.19567191E+07    2.26110552E+04    3.32751095E-03    9.86963460E-02
 109    5.40000668E-02    6.66430714E+11    1.20975109E+07    2.33089387E+04    3.33201485E-03    9.72990491E-02
 110    5.45000668E-02    6.61760071E+11    1.22372563E+07    2.40188968E+04    3.33656437E-03    9.59263787E-02
 111    5.50000668E-02    6.57090948E+11    1.23759252E+07    2.47408960E+04    3.34115962E-03    9.45777427E-02
 112    5.55000668E-02    6.52424030E+11    1.25134884E+07    2.54748979E+04    3.34580070E-03    9.32525691E-02
 113    5.60000668E-02    6.47759990E+11    1.26499172E+07    2.62208595E+04    3.35048772E-03    9.19503051E-02
 114    5.65000668E-02    6.43099491E+11    1.27851839E+07    2.69787326E+04    3.35522080E-03    9.06704164E-02
 115    5.70000668E-02    6.38443184E+11    1.29192614E+07    2.77484644E+04    3.36000004E-03    8.94123861E-02
 116    5.75000668E-02    6.33791712E+11    1.30521237E+07    2.85299974E+04    3.36482557E-03    8.81757144E-02
 117    5.80000668E-02    6.29145705E+11    1.31837451E+07    2.93232693E+04    3.36969749E-03    8.69599173E-02
 118    5.85000668E-02    6.24505783E+11    1.33141012E+07    3.01282134E+04    3.37461592E-03    8.57645264E-02
 119    5.90000668E-02    6.19872555E+11    1.34431680E+07    3.09447583E+04    3.37958098E-03    8.45890881E-02
 120    5.95000668E-02    6.15246618E+11    1.35709225E+07    3.17728281E+04    3.38459278E-03    8.34331629E-02
