 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.70038113E+08
 R [km]                                          :    9.99500031E-01
 Mean Density [g/cm^3]                           :    1.60199981E-04
 C/mR^2 (Total Moment of Inertia Respect to z)   :    6.99788752E-03
 C20                                             :    1.05934458E-04
 C22                                             :    3.18098858E-05
 ekf (Equivalent Fluid Love Number)              :    2.74071659E-04
 H(n)                                            :    4.00109629E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.30119598E+00
 b-R [km]                                        :   -5.04358939E-01
 c-R [km]                                        :   -6.19059686E-01
 
 f1=(a-c)/a                                      :    9.28228222E-01
 f2=(b-c)/b                                      :    2.31652646E-01
 f3=(a-b)/a                                      :    6.96575577E-01
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74096179E+00
 f_MacLaurin                                     :    5.78972934E-01
 f_Roche                                         :    2.31993473E+00
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
  59    2.90000314E-02    5.63900383E+11    2.92866604E+06    1.61461741E+03    3.65548132E-04    1.67205264E-01
  60    2.95000314E-02    5.53916393E+11    2.97774384E+06    1.69926880E+03    3.66895166E-04    1.62361559E-01
  61    3.00000314E-02    5.44009427E+11    3.02532038E+06    1.78594203E+03    3.68267737E-04    1.57682903E-01
  62    3.05000314E-02    5.34184099E+11    3.07137165E+06    1.87458143E+03    3.69665983E-04    1.53162379E-01
  63    3.10000314E-02    5.24444750E+11    3.11587701E+06    1.96512854E+03    3.71090039E-04    1.48793458E-01
  64    3.15000314E-02    5.14795450E+11    3.15881906E+06    2.05752223E+03    3.72540046E-04    1.44569968E-01
  65    3.20000314E-02    5.05240004E+11    3.20018358E+06    2.15169897E+03    3.74016145E-04    1.40486071E-01
  66    3.25000314E-02    4.95781956E+11    3.23995940E+06    2.24759297E+03    3.75518478E-04    1.36536233E-01
  67    3.30000314E-02    4.86424594E+11    3.27813829E+06    2.34513645E+03    3.77047190E-04    1.32715209E-01
  68    3.35000314E-02    4.77170960E+11    3.31471488E+06    2.44425981E+03    3.78602428E-04    1.29018017E-01
  69    3.40000314E-02    4.68023851E+11    3.34968648E+06    2.54489185E+03    3.80184341E-04    1.25439924E-01
  70    3.45000314E-02    4.58985828E+11    3.38305303E+06    2.64695995E+03    3.81793078E-04    1.21976429E-01
  71    3.50000314E-02    4.50059223E+11    3.41481696E+06    2.75039027E+03    3.83428791E-04    1.18623243E-01
  72    3.55000314E-02    4.41246145E+11    3.44498306E+06    2.85510795E+03    3.85091634E-04    1.15376282E-01
  73    3.60000314E-02    4.32548488E+11    3.47355837E+06    2.96103732E+03    3.86781762E-04    1.12231649E-01
  74    3.65000314E-02    4.23967938E+11    3.50055208E+06    3.06810203E+03    3.88499333E-04    1.09185627E-01
  75    3.70000314E-02    4.15505979E+11    3.52597537E+06    3.17622527E+03    3.90244505E-04    1.06234661E-01
  76    3.75000314E-02    4.07163902E+11    3.54984134E+06    3.28532993E+03    3.92017438E-04    1.03375358E-01
  77    3.80000314E-02    3.98942811E+11    3.57216487E+06    3.39533875E+03    3.93818295E-04    1.00604468E-01
  78    3.85000314E-02    3.90843631E+11    3.59296250E+06    3.50617451E+03    3.95647239E-04    9.79188810E-02
  79    3.90000314E-02    3.82867118E+11    3.61225233E+06    3.61776015E+03    3.97504436E-04    9.53156200E-02
  80    3.95000314E-02    3.75013860E+11    3.63005393E+06    3.73001892E+03    3.99390052E-04    9.27918302E-02
  81    4.00000314E-02    3.67284291E+11    3.64638819E+06    3.84287456E+03    4.01304256E-04    9.03447743E-02
  82    4.05000314E-02    3.59678695E+11    3.66127723E+06    3.95625136E+03    4.03247219E-04    8.79718261E-02
  83    4.10000314E-02    3.52197213E+11    3.67474432E+06    4.07007434E+03    4.05219112E-04    8.56704648E-02
  84    4.15000314E-02    3.44839850E+11    3.68681377E+06    4.18426936E+03    4.07220107E-04    8.34382690E-02
  85    4.20000314E-02    3.37606485E+11    3.69751081E+06    4.29876317E+03    4.09250381E-04    8.12729126E-02
  86    4.25000314E-02    3.30496872E+11    3.70686152E+06    4.41348362E+03    4.11310109E-04    7.91721593E-02
  87    4.30000314E-02    3.23510652E+11    3.71489276E+06    4.52835964E+03    4.13399468E-04    7.71338585E-02
  88    4.35000314E-02    3.16647359E+11    3.72163202E+06    4.64332141E+03    4.15518640E-04    7.51559416E-02
  89    4.40000314E-02    3.09906421E+11    3.72710741E+06    4.75830040E+03    4.17667803E-04    7.32364175E-02
  90    4.45000314E-02    3.03287174E+11    3.73134753E+06    4.87322947E+03    4.19847140E-04    7.13733695E-02
  91    4.50000314E-02    2.96788862E+11    3.73438142E+06    4.98804289E+03    4.22056836E-04    6.95649517E-02
  92    4.55000314E-02    2.90410645E+11    3.73623847E+06    5.10267646E+03    4.24297074E-04    6.78093861E-02
  93    4.60000314E-02    2.84151605E+11    3.73694837E+06    5.21706753E+03    4.26568043E-04    6.61049591E-02
  94    4.65000314E-02    2.78010751E+11    3.73654101E+06    5.33115505E+03    4.28869928E-04    6.44500193E-02
  95    4.70000314E-02    2.71987026E+11    3.73504647E+06    5.44487963E+03    4.31202921E-04    6.28429744E-02
  96    4.75000314E-02    2.66079307E+11    3.73249491E+06    5.55818354E+03    4.33567211E-04    6.12822888E-02
  97    4.80000314E-02    2.60286416E+11    3.72891654E+06    5.67101080E+03    4.35962991E-04    5.97664814E-02
  98    4.85000314E-02    2.54607123E+11    3.72434157E+06    5.78330713E+03    4.38390453E-04    5.82941232E-02
  99    4.90000314E-02    2.49040146E+11    3.71880013E+06    5.89502005E+03    4.40849794E-04    5.68638352E-02
 100    4.95000314E-02    2.43584164E+11    3.71232228E+06    6.00609882E+03    4.43341208E-04    5.54742865E-02
 101    5.00000314E-02    2.38237811E+11    3.70493790E+06    6.11649452E+03    4.45864893E-04    5.41241921E-02
 102    5.05000314E-02    2.32999690E+11    3.69667669E+06    6.22616002E+03    4.48421048E-04    5.28123114E-02
 103    5.10000314E-02    2.27868369E+11    3.68756815E+06    6.33504997E+03    4.51009872E-04    5.15374465E-02
 104    5.15000314E-02    2.22842388E+11    3.67764148E+06    6.44312083E+03    4.53631567E-04    5.02984401E-02
 105    5.20000314E-02    2.17920264E+11    3.66692561E+06    6.55033086E+03    4.56286335E-04    4.90941744E-02
 106    5.25000314E-02    2.13100491E+11    3.65544913E+06    6.65664010E+03    4.58974380E-04    4.79235696E-02
 107    5.30000314E-02    2.08381544E+11    3.64324030E+06    6.76201036E+03    4.61695907E-04    4.67855820E-02
 108    5.35000314E-02    2.03761885E+11    3.63032699E+06    6.86640522E+03    4.64451122E-04    4.56792034E-02
 109    5.40000314E-02    1.99239960E+11    3.61673668E+06    6.96979000E+03    4.67240232E-04    4.46034589E-02
 110    5.45000314E-02    1.94814208E+11    3.60249641E+06    7.07213174E+03    4.70063445E-04    4.35574064E-02
 111    5.50000314E-02    1.90483058E+11    3.58763281E+06    7.17339918E+03    4.72920971E-04    4.25401352E-02
 112    5.55000314E-02    1.86244937E+11    3.57217203E+06    7.27356275E+03    4.75813022E-04    4.15507647E-02
 113    5.60000314E-02    1.82098266E+11    3.55613978E+06    7.37259454E+03    4.78739808E-04    4.05884433E-02
 114    5.65000314E-02    1.78041468E+11    3.53956125E+06    7.47046824E+03    4.81701544E-04    3.96523477E-02
