   -2.7604214249D-01   -5.0650000000D+00   -9.2611125682D+03    3.6334957234D+00   -9.0609285697D-04   -4.9204763544D-01   -9.2574790725D+03   -9.2579720262D+03    9.2579720262D+03
   -2.7104214249D-01   -5.0700000000D+00   -9.3076940750D+03    3.6634696667D+00   -9.0767125896D-04   -4.8818056844D-01   -9.3040306053D+03   -9.3045196936D+03    9.3045196936D+03
   -2.6604214249D-01   -5.0750000000D+00   -9.3539035574D+03    3.6939268754D+00   -9.0914287672D-04   -4.8429363956D-01   -9.3502096305D+03   -9.3506948333D+03    9.3506948333D+03
   -2.6104214249D-01   -5.0800000000D+00   -9.3997215270D+03    3.7248780794D+00   -9.1050546887D-04   -4.8038750735D-01   -9.3959966489D+03   -9.3964779469D+03    9.3964779469D+03
   -2.5604214249D-01   -5.0850000000D+00   -9.4451283399D+03    3.7563342382D+00   -9.1175681719D-04   -4.7646285344D-01   -9.4413720056D+03   -9.4418493802D+03    9.4418493802D+03
   -2.5104214249D-01   -5.0900000000D+00   -9.4901042117D+03    3.7883065481D+00   -9.1289472945D-04   -4.7252038246D-01   -9.4863159051D+03   -9.4867893384D+03    9.4867893384D+03
   -2.4604214249D-01   -5.0950000000D+00   -9.5346292329D+03    3.8208064664D+00   -9.1391704230D-04   -4.6856082191D-01   -9.5308084264D+03   -9.5312779012D+03    9.5312779012D+03
   -2.4104214249D-01   -5.1000000000D+00   -9.5786833853D+03    3.8538457070D+00   -9.1482162421D-04   -4.6458492207D-01   -9.5748295396D+03   -9.5752950394D+03    9.5752950394D+03
   -2.3604214249D-01   -5.1050000000D+00   -9.6222465586D+03    3.8874362569D+00   -9.1560637839D-04   -4.6059345577D-01   -9.6183591224D+03   -9.6188206314D+03    9.6188206314D+03
   -2.3104214249D-01   -5.1100000000D+00   -9.6652985678D+03    3.9215904093D+00   -9.1626924588D-04   -4.5658721824D-01   -9.6613769774D+03   -9.6618344809D+03    9.6618344809D+03
   -2.2604214249D-01   -5.1150000000D+00   -9.7078191713D+03    3.9563207419D+00   -9.1680820850D-04   -4.5256702681D-01   -9.7038628506D+03   -9.7043163344D+03    9.7043163344D+03
   -2.2104214249D-01   -5.1200000000D+00   -9.7497880894D+03    3.9916401687D+00   -9.1722129198D-04   -4.4853372064D-01   -9.7457964492D+03   -9.7462459001D+03    9.7462459001D+03
   -2.1604214249D-01   -5.1250000000D+00   -9.7911850234D+03    4.0275619299D+00   -9.1750656899D-04   -4.4448816041D-01   -9.7871574615D+03   -9.7876028671D+03    9.7876028671D+03
   -2.1104214249D-01   -5.1300000000D+00   -9.8319896755D+03    4.0640996320D+00   -9.1766216228D-04   -4.4043122792D-01   -9.8279255759D+03   -9.8283669247D+03    9.8283669247D+03
   -2.0604214249D-01   -5.1350000000D+00   -9.8721817686D+03    4.1012672257D+00   -9.1768624779D-04   -4.3636382571D-01   -9.8680805014D+03   -9.8685177829D+03    9.8685177829D+03
   -2.0104214249D-01   -5.1400000000D+00   -9.9117410673D+03    4.1390790840D+00   -9.1757705772D-04   -4.3228687656D-01   -9.9076019882D+03   -9.9080351927D+03    9.9080351927D+03
   -1.9604214249D-01   -5.1450000000D+00   -9.9506473988D+03    4.1775499586D+00   -9.1733288368D-04   -4.2820132309D-01   -9.9464698489D+03   -9.9468989675D+03    9.9468989675D+03
   -1.9104214249D-01   -5.1500000000D+00   -9.9888806746D+03    4.2166950617D+00   -9.1695207978D-04   -4.2410812713D-01   -9.9846639796D+03   -9.9850890046D+03    9.9850890046D+03
   -1.8604214249D-01   -5.1550000000D+00   -1.0026420912D+04    4.2565300060D+00   -9.1643306569D-04   -4.2000826919D-01   -1.0022164382D+04   -1.0022585307D+04    1.0022585307D+04
   -1.8104214249D-01   -5.1600000000D+00   -1.0063248258D+04    4.2970709379D+00   -9.1577432972D-04   -4.1590274787D-01   -1.0058951187D+04   -1.0059368005D+04    1.0059368005D+04
   -1.7604214249D-01   -5.1650000000D+00   -1.0099343008D+04    4.3383344560D+00   -9.1497443187D-04   -4.1179257915D-01   -1.0095004674D+04   -1.0095417381D+04    1.0095417381D+04
   -1.7104214249D-01   -5.1700000000D+00   -1.0134685634D+04    4.3803376813D+00   -9.1403200675D-04   -4.0767879571D-01   -1.0130305296D+04   -1.0130713889D+04    1.0130713889D+04
   -1.6604214249D-01   -5.1750000000D+00   -1.0169256804D+04    4.4230982823D+00   -9.1294576661D-04   -4.0356244623D-01   -1.0164833706D+04   -1.0165238181D+04    1.0165238181D+04
   -1.6104214249D-01   -5.1800000000D+00   -1.0203037407D+04    4.4666344898D+00   -9.1171450418D-04   -3.9944459454D-01   -1.0198570772D+04   -1.0198971128D+04    1.0198971128D+04
   -1.5604214249D-01   -5.1850000000D+00   -1.0236008573D+04    4.5109651336D+00   -9.1033709551D-04   -3.9532631887D-01   -1.0231497608D+04   -1.0231893845D+04    1.0231893845D+04
   -1.5104214249D-01   -5.1900000000D+00   -1.0268151704D+04    4.5561096341D+00   -9.0881250274D-04   -3.9120871094D-01   -1.0263595594D+04   -1.0263987712D+04    1.0263987712D+04
   -1.4604214249D-01   -5.1950000000D+00   -1.0299448489D+04    4.6020880689D+00   -9.0713977681D-04   -3.8709287510D-01   -1.0294846401D+04   -1.0295234401D+04    1.0295234401D+04
   -1.4104214249D-01   -5.2000000000D+00   -1.0329880935D+04    4.6489211742D+00   -9.0531806003D-04   -3.8297992740D-01   -1.0325232013D+04   -1.0325615899D+04    1.0325615899D+04
   -1.3604214249D-01   -5.2050000000D+00   -1.0359431383D+04    4.6966303713D+00   -9.0334658865D-04   -3.7887099459D-01   -1.0354734753D+04   -1.0355114527D+04    1.0355114527D+04
   -1.3104214249D-01   -5.2100000000D+00   -1.0388082540D+04    4.7452378040D+00   -9.0122469521D-04   -3.7476721315D-01   -1.0383337302D+04   -1.0383712970D+04    1.0383712970D+04
   -1.2604214249D-01   -5.2150000000D+00   -1.0415817495D+04    4.7947663549D+00   -8.9895181092D-04   -3.7066972823D-01   -1.0411022728D+04   -1.0411394297D+04    1.0411394297D+04
