   -1.3604214249D-01   -5.2050000000D+00   -7.7390872762D+03    9.2525692274D+00    7.5504842251D-01   -6.6477909620D-11   -7.7298347069D+03   -7.7290796585D+03    7.7290796585D+03
   -1.3104214249D-01   -5.2100000000D+00   -7.7657851769D+03    9.3924147976D+00    7.6635700904D-01   -6.8100121609D-11   -7.7563927621D+03   -7.7556264051D+03    7.7556264051D+03
   -1.2604214249D-01   -5.2150000000D+00   -7.7916331791D+03    9.5342237301D+00    7.7754728155D-01   -6.9750229490D-11   -7.7820989553D+03   -7.7813214081D+03    7.7813214081D+03
   -1.2104214249D-01   -5.2200000000D+00   -7.8166159727D+03    9.6780317329D+00    7.8861507785D-01   -7.1428071383D-11   -7.8069379409D+03   -7.8061493259D+03    7.8061493259D+03
   -1.1604214249D-01   -5.2250000000D+00   -7.8407186495D+03    9.8238765864D+00    7.9955627266D-01   -7.3133466218D-11   -7.8308947729D+03   -7.8300952166D+03    7.8300952166D+03
   -1.1104214249D-01   -5.2300000000D+00   -7.8639267241D+03    9.9717982181D+00    8.1036678235D-01   -7.4866213665D-11   -7.8539549259D+03   -7.8531445591D+03    7.8531445591D+03
   -1.0604214249D-01   -5.2350000000D+00   -7.8862261545D+03    1.0121838773D+01    8.2104256972D-01   -7.6626094099D-11   -7.8761043157D+03   -7.8752832731D+03    7.8752832731D+03
   -1.0104214249D-01   -5.2400000000D+00   -7.9076033622D+03    1.0274042680D+01    8.3157964884D-01   -7.8412868587D-11   -7.8973293195D+03   -7.8964977398D+03    7.8964977398D+03
   -9.6042142489D-02   -5.2450000000D+00   -7.9280452521D+03    1.0428456715D+01    8.4197408978D-01   -8.0226278911D-11   -7.9176167954D+03   -7.9167748213D+03    7.9167748213D+03
   -9.1042142489D-02   -5.2500000000D+00   -7.9475392320D+03    1.0585130061D+01    8.5222202340D-01   -8.2066047618D-11   -7.9369541020D+03   -7.9361018799D+03    7.9361018799D+03
   -8.6042142489D-02   -5.2550000000D+00   -7.9660732308D+03    1.0744114358D+01    8.6231964603D-01   -8.3931878108D-11   -7.9553291164D+03   -7.9544667968D+03    7.9544667968D+03
   -8.1042142489D-02   -5.2600000000D+00   -7.9836357168D+03    1.0905463751D+01    8.7226322416D-01   -8.5823454746D-11   -7.9727302531D+03   -7.9718579899D+03    7.9718579899D+03
   -7.6042142489D-02   -5.2650000000D+00   -8.0002157155D+03    1.1069234936D+01    8.8204909905D-01   -8.7740443007D-11   -7.9891464806D+03   -7.9882644315D+03    7.9882644315D+03
   -7.1042142489D-02   -5.2700000000D+00   -8.0158028258D+03    1.1235487192D+01    8.9167369126D-01   -8.9682489658D-11   -8.0045673386D+03   -8.0036756649D+03    8.0036756649D+03
   -6.6042142489D-02   -5.2750000000D+00   -8.0303872363D+03    1.1404282410D+01    9.0113350510D-01   -9.1649222965D-11   -8.0189829539D+03   -8.0180818204D+03    8.0180818204D+03
   -6.1042142489D-02   -5.2800000000D+00   -8.0439597405D+03    1.1575685122D+01    9.1042513302D-01   -9.3640252936D-11   -8.0323840553D+03   -8.0314736302D+03    8.0314736302D+03
   -5.6042142489D-02   -5.2850000000D+00   -8.0565117509D+03    1.1749762507D+01    9.1954525988D-01   -9.5655171594D-11   -8.0447619884D+03   -8.0438424432D+03    8.0438424432D+03
   -5.1042142489D-02   -5.2900000000D+00   -8.0680353130D+03    1.1926584411D+01    9.2849066707D-01   -9.7693553281D-11   -8.0561087286D+03   -8.0551802379D+03    8.0551802379D+03
   -4.6042142489D-02   -5.2950000000D+00   -8.0785231173D+03    1.2106223339D+01    9.3725823658D-01   -9.9754954993D-11   -8.0664168940D+03   -8.0654796357D+03    8.0654796357D+03
   -4.1042142489D-02   -5.3000000000D+00   -8.0879685112D+03    1.2288754453D+01    9.4584495486D-01   -1.0183891675D-10   -8.0756797568D+03   -8.0747339118D+03    8.0747339118D+03
   -3.6042142489D-02   -5.3050000000D+00   -8.0963655097D+03    1.2474255559D+01    9.5424791660D-01   -1.0394496197D-10   -8.0838912541D+03   -8.0829370062D+03    8.0829370062D+03
   -3.1042142489D-02   -5.3100000000D+00   -8.1037088047D+03    1.2662807083D+01    9.6246432833D-01   -1.0607259794D-10   -8.0910459977D+03   -8.0900835333D+03    8.0900835333D+03
   -2.6042142489D-02   -5.3150000000D+00   -8.1099937740D+03    1.2854492040D+01    9.7049151183D-01   -1.0822131621D-10   -8.0971392820D+03   -8.0961687905D+03    8.0961687905D+03
   -2.1042142489D-02   -5.3200000000D+00   -8.1152164884D+03    1.3049396002D+01    9.7832690745D-01   -1.1039059311D-10   -8.1021670924D+03   -8.1011887655D+03    8.1011887655D+03
   -1.6042142489D-02   -5.3250000000D+00   -8.1193737182D+03    1.3247607044D+01    9.8596807716D-01   -1.1257989026D-10   -8.1061261111D+03   -8.1051401431D+03    8.1051401431D+03
   -1.1042142489D-02   -5.3300000000D+00   -8.1224629386D+03    1.3449215701D+01    9.9341270745D-01   -1.1478865507D-10   -8.1090137229D+03   -8.1080203102D+03    8.1080203102D+03
   -6.0421424887D-03   -5.3350000000D+00   -8.1244823338D+03    1.3654314896D+01    1.0006586121D+00   -1.1701632132D-10   -8.1108280189D+03   -8.1098273603D+03    8.1098273603D+03
   -1.0421424887D-03   -5.3400000000D+00   -8.1254307999D+03    1.3862999878D+01    1.0077037346D+00   -1.1926230975D-10   -8.1115678001D+03   -8.1105600963D+03    8.1105600963D+03
    3.9578575113D-03   -5.3450000000D+00   -8.1253079470D+03    1.4075368145D+01    1.0145461504D+00   -1.2152602863D-10   -8.1112325789D+03   -8.1102180327D+03    8.1102180327D+03
    8.9578575113D-03   -5.3500000000D+00   -8.1241140996D+03    1.4291519359D+01    1.0211840695D+00   -1.2380687440D-10   -8.1098225803D+03   -8.1088013962D+03    8.1088013962D+03
    1.3957857511D-02   -5.3550000000D+00   -8.1218502964D+03    1.4511555255D+01    1.0276158374D+00   -1.2610423232D-10   -8.1073387411D+03   -8.1063111253D+03    8.1063111253D+03
    1.8957857511D-02   -5.3600000000D+00   -8.1185182884D+03    1.4735579544D+01    1.0338399376D+00   -1.2841747711D-10   -8.1037827089D+03   -8.1027488689D+03    8.1027488689D+03
    2.3957857511D-02   -5.3650000000D+00   -8.1141205366D+03    1.4963697812D+01    1.0398549927D+00   -1.3074597362D-10   -8.0991568388D+03   -8.0981169838D+03    8.0981169838D+03
